Date,Analyst,Classification,Outcome,Slack link
2026-03-20,sergsemenciuc,payout_hold,enable_transfers,
2026-03-20,sergsemenciuc,fraud_review,terminate_fraud,
2026-03-20,sergsemenciuc,fraud_review,terminate_fraud,
2026-03-20,sergsemenciuc,fraud_review,request_documentation,
2026-03-20,sergsemenciuc,fraud_review,terminate_fraud,
2026-03-23,goran.blagajac,payout_hold,enforce_reserve,
2026-03-23,goran.blagajac,fraud_review,no_action,
2026-03-23,goran.blagajac,misdirected,redirect,
2026-03-23,goran.blagajac,fraud_review,no_action,
2026-03-23,goran.blagajac,payout_hold,no_action,
2026-03-23,goran.blagajac,fraud_review,request_documentation,
2026-03-23,goran.blagajac,fraud_review,terminate_fraud,
2026-03-23,goran.blagajac,fraud_review,terminate_fraud,
2026-03-23,goran.blagajac,fraud_review,terminate_fraud,
2026-03-23,goran.blagajac,fraud_review,terminate_fraud,
2026-03-23,goran.blagajac,fraud_review,terminate_fraud,
2026-03-23,goran.blagajac,payout_hold,enforce_reserve,
2026-03-23,goran.blagajac,research,no_action,
2026-03-23,goran.blagajac,payout_hold,enforce_reserve,
2026-03-23,goran.blagajac,payout_hold,enforce_reserve,
2026-03-23,sofika,payout_hold,enable_transfers,
2026-03-23,sofika,fraud_review,no_action,
2026-03-24,goran.blagajac,other,redirect,
2026-03-24,goran.blagajac,fraud_review,no_action,
2026-03-24,goran.blagajac,fraud_review,terminate_fraud,
2026-03-24,goran.blagajac,fraud_review,terminate_fraud,
2026-03-24,sofika,payout_hold,enable_transfers,
2026-03-24,sofika,payout_hold,enforce_reserve,
2026-03-24,sofika,payout_hold,enable_transfers,
2026-03-25,goran.blagajac,fraud_review,terminate_fraud,
2026-03-25,goran.blagajac,fraud_review,terminate_fraud,
2026-03-25,goran.blagajac,misdirected,redirect,
2026-03-25,goran.blagajac,payout_hold,enforce_reserve,
2026-03-25,goran.blagajac,other,no_action,
2026-03-25,goran.blagajac,payout_hold,enforce_reserve,
2026-03-25,goran.blagajac,fraud_review,terminate_fraud,
2026-03-25,goran.blagajac,fraud_review,terminate_fraud,
2026-03-25,goran.blagajac,fraud_review,terminate_fraud,
2026-03-25,goran.blagajac,fraud_review,no_action,
2026-03-25,goran.blagajac,payout_hold,no_action,
2026-03-25,goran.blagajac,payout_hold,no_action,
2026-03-25,goran.blagajac,payout_hold,no_action,
2026-03-25,sofika,resolved_lookup,no_action,
2026-03-25,sofika,payout_hold,enable_transfers,
2026-03-25,sofika,fraud_review,false_positive,
2026-03-26,goran.blagajac,fraud_review,terminate_fraud,
2026-03-26,goran.blagajac,fraud_review,terminate_fraud,
2026-03-26,goran.blagajac,fraud_review,terminate_fraud,
2026-03-26,goran.blagajac,payout_hold,enforce_reserve,
2026-03-26,goran.blagajac,payout_hold,enable_transfers,
